buurt_idx,n_houses,total_addresses,mean_distance,pct_within_100m,pct_within_250m,pct_within_500m,date,hour
55,1020,3067,188.35558142274914,11.183567003586568,83.4039778284969,100.0,2025-09-19,0
56,1406,2495,184.85508637512797,22.364729458917836,71.86372745490982,100.0,2025-09-19,0
57,2196,5249,173.08775467806285,17.546199276052583,85.76871785101923,100.0,2025-09-19,0
58,2027,4649,133.917829966089,48.05334480533448,88.49214884921489,100.0,2025-09-19,0
59,314,576,95.94787004577307,49.30555555555556,100.0,100.0,2025-09-19,0
60,1030,1918,146.5341042803021,22.67987486965589,95.1511991657977,100.0,2025-09-19,0
61,2298,4746,135.3322791886671,41.340075853350186,88.72734934681837,100.0,2025-09-19,0
62,1313,1907,102.02107040774547,54.64079706345044,99.8951232302045,100.0,2025-09-19,0
63,1146,2455,121.23398139639393,38.53360488798371,100.0,100.0,2025-09-19,0
64,2284,4458,125.5878779123123,39.97308209959623,97.89143113503813,100.0,2025-09-19,0
65,3004,6050,251.3119856964989,10.297520661157025,49.27272727272727,100.0,2025-09-19,0
66,2169,4253,351.64644372373084,2.4218198918410536,21.067481777568776,91.11215612508818,2025-09-19,0
67,1225,2632,348.582324933243,4.407294832826747,23.51823708206687,87.31003039513678,2025-09-19,0
68,921,1801,243.25191098574126,5.496946141032759,52.026651860077735,100.0,2025-09-19,0
69,1057,1853,159.69848193230146,25.472207231516457,85.21316783594172,100.0,2025-09-19,0
70,1369,2573,348.4462449113156,1.3991449669646328,21.919937815779246,91.06101826661485,2025-09-19,0
71,1514,3024,230.25592412358966,11.507936507936508,55.39021164021164,100.0,2025-09-19,0
72,846,2081,190.7601038907862,11.532916866890917,78.90437289764536,100.0,2025-09-19,0
73,1409,3470,198.92167190324164,16.59942363112392,68.04034582132564,100.0,2025-09-19,0
74,3542,8463,274.06150718335226,5.730828311473473,42.19543896963252,96.14793808342196,2025-09-19,0
75,1467,3612,390.2349305112315,1.8549280177187155,15.337763012181615,79.9280177187154,2025-09-19,0
76,1232,3420,475.0701410725518,3.625730994152047,14.269005847953217,51.11111111111111,2025-09-19,0
77,1757,4759,914.8223001992936,0.0,0.0,2.395461231351124,2025-09-19,0
78,474,943,851.1257423535121,13.57370095440085,13.891834570519618,27.67762460233298,2025-09-19,0
79,959,3124,289.52811417249796,8.25864276568502,36.93982074263765,99.8719590268886,2025-09-19,0
80,1903,3627,597.2488823325195,0.0,1.8748276812792941,24.95175075820237,2025-09-19,0
81,1180,3537,469.84299448025416,1.4984450098953916,6.361323155216285,56.54509471303364,2025-09-19,0
82,11,101,146.72399224190454,0.0,99.00990099009901,99.00990099009901,2025-09-19,0
83,900,1763,584.92468281543,0.0,2.7226318774815654,26.602382302892796,2025-09-19,0
84,1296,3323,311.93178539273873,8.245561239843514,37.13511886849233,86.27746012639182,2025-09-19,0
85,1112,3224,381.3062361654691,4.311414392059553,30.148883374689827,69.82009925558313,2025-09-19,0
86,1164,2420,526.5107614225666,0.0,0.0,39.710743801652896,2025-09-19,0
87,1011,1723,362.4127357962563,0.0,24.840394660475916,84.56181079512479,2025-09-19,0
88,831,3238,128.34849314654727,39.40704138357011,99.10438542310068,100.0,2025-09-19,0
89,1762,3735,310.7930217987954,0.321285140562249,20.803212851405622,100.0,2025-09-19,0
90,1350,1613,266.9736086176918,4.587724736515809,53.56478611283323,94.04835709857409,2025-09-19,0
91,1961,3517,130.79427071155055,33.807222064259314,97.35570088143304,100.0,2025-09-19,0
92,2332,5184,209.64667471648238,10.860339506172838,67.5733024691358,100.0,2025-09-19,0
93,1752,3924,126.10659634158412,35.75433231396534,96.73802242609581,100.0,2025-09-19,0
94,1547,1902,158.1207287940849,42.218717139852785,79.81072555205047,100.0,2025-09-19,0
95,1261,1556,868.9336685700235,0.0,0.0,9.125964010282777,2025-09-19,0
96,2543,3155,1360.8602238692201,0.0,0.0,0.0,2025-09-19,0
97,1025,1066,902.9116063863198,0.0,0.0,0.0,2025-09-19,0
98,63,63,651.2760606206461,0.0,0.0,41.269841269841265,2025-09-19,0
99,0,0,,,,,2025-09-19,0
100,188,350,529.8764028051864,0.0,0.0,48.857142857142854,2025-09-19,0
101,635,668,1177.243161422616,0.0,0.0,0.0,2025-09-19,0
102,0,0,,,,,2025-09-19,0
103,2089,2686,1338.3576485852484,0.0,0.0,0.0,2025-09-19,0
104,1751,2032,1604.5581014885563,0.0,0.0,0.0,2025-09-19,0
105,1555,1672,2083.760889423315,0.0,0.0,0.0,2025-09-19,0
106,1029,1100,2625.181758544231,0.0,0.0,0.0,2025-09-19,0
107,32,32,911.2708113490369,0.0,0.0,6.25,2025-09-19,0
108,0,0,,,,,2025-09-19,0
109,943,999,305.55110982732344,1.3013013013013013,35.43543543543544,97.4974974974975,2025-09-19,0
110,902,998,663.1076143671467,0.0,0.0,6.312625250501001,2025-09-19,0
111,1114,1315,448.7725884278486,2.5095057034220534,13.38403041825095,62.0532319391635,2025-09-19,0
112,1353,1484,696.3625626274636,0.0,0.0,0.9433962264150944,2025-09-19,0
113,145,334,641.6826734604392,0.0,0.0,11.976047904191617,2025-09-19,0
114,1589,2201,943.1768969874609,0.0,0.0,0.0,2025-09-19,0
115,263,269,999.5466271955853,0.0,0.0,0.0,2025-09-19,0
116,46,62,270.81404833207205,27.419354838709676,48.38709677419355,100.0,2025-09-19,0
117,74,99,432.1280579665141,0.0,0.0,74.74747474747475,2025-09-19,0
118,53,68,415.5684405965401,0.0,25.0,60.29411764705882,2025-09-19,0
119,431,616,497.0432200705686,0.0,1.948051948051948,51.461038961038966,2025-09-19,0
120,828,2075,763.506207179927,0.0,0.0,20.14457831325301,2025-09-19,0
121,156,1249,761.6645275780461,0.0,0.0,29.383506805444355,2025-09-19,0
122,178,1002,205.48914909550788,0.0,72.2554890219561,100.0,2025-09-19,0
123,2,2,757.375206866566,0.0,0.0,0.0,2025-09-19,0
124,172,1505,554.850946992451,0.0,0.0,34.81727574750831,2025-09-19,0
125,260,1342,262.02432268299094,4.843517138599106,45.67809239940387,100.0,2025-09-19,0
126,717,2197,474.28384047271993,0.0,12.47155211652253,53.34547109695039,2025-09-19,0
127,0,0,,,,,2025-09-19,0
128,46,345,718.3287575940008,0.0,0.0,0.0,2025-09-19,0
129,1327,1569,1139.9118781591528,0.0,0.0,0.0,2025-09-19,0
130,133,424,1025.1066820027063,0.0,0.0,0.0,2025-09-19,0
131,1087,2247,519.735138802355,0.0,19.848687138406763,45.34935469514909,2025-09-19,0
132,1066,3263,480.63045311618015,9.439166411277965,20.165491878639287,52.89610787618756,2025-09-19,0
133,285,302,968.559634651069,0.0,0.0,0.0,2025-09-19,0
134,7,7,1364.8220559485167,0.0,0.0,0.0,2025-09-19,0
135,160,165,1766.9683583766032,0.0,0.0,0.0,2025-09-19,0
136,4,4,1494.6281227601405,0.0,0.0,0.0,2025-09-19,0
137,299,299,1828.2718091283803,0.0,0.0,0.0,2025-09-19,0
138,228,228,3320.3307155259126,0.0,0.0,0.0,2025-09-19,0
139,552,564,2500.641862882329,0.0,0.0,0.0,2025-09-19,0
140,92,92,1495.231926819144,0.0,0.0,0.0,2025-09-19,0
141,309,309,2788.6357916089783,0.0,0.0,0.0,2025-09-19,0
142,191,193,3473.9530883807124,0.0,0.0,0.0,2025-09-19,0
143,526,526,2248.654609075252,0.0,0.0,0.0,2025-09-19,0
144,207,207,2392.3375066907106,0.0,0.0,0.0,2025-09-19,0
145,2,2,2325.089000557885,0.0,0.0,0.0,2025-09-19,0
146,0,0,,,,,2025-09-19,0
147,38,38,1667.3402581283972,0.0,0.0,0.0,2025-09-19,0
148,447,476,1434.7205443791688,0.0,0.0,0.0,2025-09-19,0
149,1380,1391,1614.8591383044004,0.0,0.0,0.0,2025-09-19,0
150,945,945,1887.3217521938461,0.0,0.0,0.0,2025-09-19,0
151,34,34,854.2357277268457,0.0,0.0,0.0,2025-09-19,0
152,23,24,1320.60170964322,0.0,0.0,0.0,2025-09-19,0
153,60,60,2168.9538525577245,0.0,0.0,0.0,2025-09-19,0
154,122,122,1079.9532926908432,0.0,0.0,0.0,2025-09-19,0
155,624,624,688.8106630295866,0.0,0.0,4.166666666666666,2025-09-19,0
156,0,0,,,,,2025-09-19,0
157,0,0,,,,,2025-09-19,0
158,138,139,569.191337361892,0.0,0.0,14.388489208633093,2025-09-19,0
159,238,238,604.703836858407,0.0,0.0,26.89075630252101,2025-09-19,0
160,299,299,315.8134293648931,2.6755852842809364,32.10702341137124,99.33110367892976,2025-09-19,0
161,391,391,271.647955350669,3.8363171355498724,39.89769820971867,100.0,2025-09-19,0
162,315,315,611.7654717489477,0.0,0.0,24.444444444444443,2025-09-19,0
163,498,498,620.7827396182716,0.0,0.0,10.843373493975903,2025-09-19,0
164,527,527,773.4393480080283,0.0,0.0,0.0,2025-09-19,0
165,1111,1111,482.68234073463526,0.0,14.581458145814583,57.78577857785778,2025-09-19,0
166,1425,1425,1039.8982835711417,0.0,0.0,0.0,2025-09-19,0
167,1665,1729,911.0413311716019,0.0,0.0,0.0,2025-09-19,0
168,1154,1211,590.3138629375861,0.0,0.0,24.607762180016515,2025-09-19,0
169,1200,1243,881.7517518113316,0.0,0.0,0.0,2025-09-19,0
170,2355,2411,624.9259639720266,0.0,2.737453338863542,22.23143923683119,2025-09-19,0
171,498,498,550.2526240014589,0.0,1.0040160642570282,32.329317269076306,2025-09-19,0
172,1794,1794,412.27557056821684,0.0,11.426978818283166,68.22742474916387,2025-09-19,0
173,1583,1583,365.40171673192526,0.0,19.7094125078964,85.21794061907771,2025-09-19,0
174,1154,1187,491.56927031302786,0.0,7.582139848357203,52.40101095197978,2025-09-19,0
175,150,160,912.1685029068491,0.0,0.0,0.0,2025-09-19,0
176,824,824,336.3471123207383,1.4563106796116505,23.058252427184467,99.75728155339806,2025-09-19,0
177,1697,1697,655.8300353547107,1.4142604596346495,8.36770771950501,25.456688273423687,2025-09-19,0
178,1430,1430,453.62521000678913,0.0,14.895104895104897,56.57342657342658,2025-09-19,0
179,646,646,1215.5282124601936,0.0,0.0,0.0,2025-09-19,0
180,611,611,1754.6570021450946,0.0,0.0,0.0,2025-09-19,0
0,0,0,,,,,2025-09-19,1
1,1,1,2190.99653253655,0.0,0.0,0.0,2025-09-19,1
2,0,0,,,,,2025-09-19,1
3,2265,4088,185.7345434789755,15.851272015655576,81.31115459882582,97.96966731898239,2025-09-19,1
4,316,662,215.97418951232004,6.948640483383686,62.99093655589124,100.0,2025-09-19,1
5,478,676,574.9049658173226,2.9585798816568047,18.19526627218935,33.13609467455622,2025-09-19,1
6,551,774,182.95294322594637,13.953488372093023,79.58656330749353,100.0,2025-09-19,1
7,604,1293,405.9896031744198,3.3255993812838365,25.135344160866204,64.96519721577727,2025-09-19,1
8,820,1803,471.79417123265165,4.492512479201332,21.07598447032723,53.02273987798114,2025-09-19,1
9,1293,1758,348.29040024771905,5.858930602957907,21.786120591581344,87.20136518771331,2025-09-19,1
10,698,1136,283.1164766316575,14.43661971830986,36.70774647887324,90.3169014084507,2025-09-19,1
11,856,1084,149.36165476326974,28.321033210332104,89.11439114391145,100.0,2025-09-19,1
12,2030,3678,193.54544502193602,22.43066884176183,71.88689505165851,99.42903752039152,2025-09-19,1
13,302,455,218.73276200874938,15.604395604395604,61.75824175824176,100.0,2025-09-19,1
14,1033,1764,144.1479285575093,26.58730158730159,91.66666666666666,100.0,2025-09-19,1
15,1810,2948,167.04869984810452,26.72998643147897,86.12618724559023,100.0,2025-09-19,1
16,1846,3146,120.93023624204669,35.98219961856326,96.21741894469167,100.0,2025-09-19,1
17,1167,2213,175.2297966933895,21.057388160867603,78.49073655671035,100.0,2025-09-19,1
18,593,940,187.7640515667063,10.74468085106383,79.68085106382978,100.0,2025-09-19,1
19,1646,2719,231.22015424733564,10.150790731886723,55.82934902537697,100.0,2025-09-19,1
20,3441,5180,151.81962450163823,21.1003861003861,95.36679536679536,100.0,2025-09-19,1
21,1224,2289,145.40949905034358,26.955002184359984,93.27217125382263,100.0,2025-09-19,1
22,254,407,262.9750328900041,0.4914004914004914,49.877149877149876,100.0,2025-09-19,1
23,785,1634,380.09587138699254,3.4271725826193387,11.505507955936352,87.9436964504284,2025-09-19,1
24,1765,3033,256.7664862947069,9.099901088031652,47.08209693372898,99.7692054071876,2025-09-19,1
25,653,1107,546.9526585127721,0.0,0.0,18.428184281842817,2025-09-19,1
26,1323,3207,248.5184159647204,6.828811973807297,45.400685999376364,100.0,2025-09-19,1
27,1521,3433,214.92429750568155,17.36090882609962,63.76347218176522,99.85435479172735,2025-09-19,1
28,1773,2076,329.757490885325,2.5529865125240847,28.034682080924856,90.22157996146436,2025-09-19,1
29,100,210,272.08609909860843,0.0,48.095238095238095,98.09523809523809,2025-09-19,1
30,1031,2968,288.18671565177345,4.615902964959568,47.16981132075472,92.95822102425876,2025-09-19,1
31,550,550,684.9779550108682,0.0,0.0,34.54545454545455,2025-09-19,1
32,655,1002,243.37908305686307,12.17564870259481,57.28542914171657,100.0,2025-09-19,1
33,2374,3319,783.3174374350575,4.097619764989455,16.239831274480267,47.454052425429346,2025-09-19,1
34,157,201,624.4813692422725,0.0,0.0,0.9950248756218906,2025-09-19,1
35,3724,5534,345.0733835694334,6.071557643657391,31.8756776292013,80.75533068305023,2025-09-19,1
36,1596,2997,298.6325293437945,7.340674007340674,44.37771104437771,89.4894894894895,2025-09-19,1
37,346,1194,385.95154907462796,0.0,16.834170854271356,79.5644891122278,2025-09-19,1
38,2317,3640,489.41979502062696,0.0,1.9505494505494505,52.032967032967036,2025-09-19,1
39,844,1995,488.8784492017708,10.025062656641603,15.037593984962406,40.6015037593985,2025-09-19,1
40,401,1166,233.56035496782923,6.432246998284734,52.83018867924528,100.0,2025-09-19,1
41,687,2180,488.59457988806247,0.963302752293578,10.733944954128441,52.01834862385321,2025-09-19,1
42,2008,3202,334.5717884256968,4.62211118051218,24.45346658338538,96.12742036227357,2025-09-19,1
43,643,1314,330.6135514774951,1.750380517503805,22.526636225266362,97.86910197869102,2025-09-19,1
44,1650,3794,260.8360735110123,7.564575645756458,51.396942540853985,93.54243542435424,2025-09-19,1
45,3476,6025,136.13013801543156,36.149377593360995,89.27800829875518,100.0,2025-09-19,1
46,2039,3491,250.8311071741187,8.908622171297623,48.8685190489831,100.0,2025-09-19,1
47,2382,4047,145.05099813862645,27.131208302446257,90.46207066963183,100.0,2025-09-19,1
48,3976,7160,134.60033007995403,28.784916201117316,95.64245810055866,100.0,2025-09-19,1
49,676,1187,99.7179704206434,49.3681550126369,99.74726200505476,100.0,2025-09-19,1
50,135,420,209.73871184390663,52.38095238095239,83.33333333333334,83.33333333333334,2025-09-19,1
51,853,2982,667.4492486018333,0.0,1.4419852448021462,29.912810194500334,2025-09-19,1
52,538,1590,245.27218384544966,10.817610062893083,50.44025157232704,100.0,2025-09-19,1
53,285,377,1144.7089695994887,0.0,0.0,0.5305039787798408,2025-09-19,1
54,1292,3880,344.94574699257566,3.556701030927835,30.103092783505154,82.91237113402062,2025-09-19,1
55,1020,3067,188.35558142274914,11.183567003586568,83.4039778284969,100.0,2025-09-19,1
56,1406,2495,184.85508637512797,22.364729458917836,71.86372745490982,100.0,2025-09-19,1
57,2196,5249,173.08775467806285,17.546199276052583,85.76871785101923,100.0,2025-09-19,1
58,2027,4649,142.4958423507878,48.05334480533448,82.57689825768982,100.0,2025-09-19,1
59,314,576,95.94787004577307,49.30555555555556,100.0,100.0,2025-09-19,1
60,1030,1918,146.5341042803021,22.67987486965589,95.1511991657977,100.0,2025-09-19,1
61,2298,4746,137.70355156776606,38.095238095238095,89.08554572271386,100.0,2025-09-19,1
62,1313,1907,109.22643064796269,48.24331410592554,98.68904037755637,100.0,2025-09-19,1
63,1146,2455,121.23398139639393,38.53360488798371,100.0,100.0,2025-09-19,1
64,2284,4458,105.60750371593322,51.36832660385823,97.89143113503813,100.0,2025-09-19,1
65,3004,6050,251.2235273188727,10.297520661157025,49.27272727272727,100.0,2025-09-19,1
66,2169,4253,351.64644372373084,2.4218198918410536,21.067481777568776,91.11215612508818,2025-09-19,1
67,1225,2632,361.2098719498678,4.407294832826747,23.138297872340424,81.91489361702128,2025-09-19,1
68,921,1801,243.25191098574126,5.496946141032759,52.026651860077735,100.0,2025-09-19,1
69,1057,1853,156.44319598328704,27.145169994603346,87.26389638424178,100.0,2025-09-19,1
70,1369,2573,342.34308311867005,1.9432568985619898,23.35794792071512,91.21647881849981,2025-09-19,1
71,1514,3024,230.25592412358966,11.507936507936508,55.39021164021164,100.0,2025-09-19,1
72,846,2081,190.7601038907862,11.532916866890917,78.90437289764536,100.0,2025-09-19,1
73,1409,3470,198.92167190324164,16.59942363112392,68.04034582132564,100.0,2025-09-19,1
74,3542,8463,274.06150718335226,5.730828311473473,42.19543896963252,96.14793808342196,2025-09-19,1
75,1467,3612,390.2349305112315,1.8549280177187155,15.337763012181615,79.9280177187154,2025-09-19,1
76,1232,3420,475.0701410725518,3.625730994152047,14.269005847953217,51.11111111111111,2025-09-19,1
77,1757,4759,914.8223001992936,0.0,0.0,2.395461231351124,2025-09-19,1
78,474,943,851.1257423535121,13.57370095440085,13.891834570519618,27.67762460233298,2025-09-19,1
79,959,3124,289.52811417249796,8.25864276568502,36.93982074263765,99.8719590268886,2025-09-19,1
80,1903,3627,597.2488823325195,0.0,1.8748276812792941,24.95175075820237,2025-09-19,1
81,1180,3537,469.84299448025416,1.4984450098953916,6.361323155216285,56.54509471303364,2025-09-19,1
82,11,101,146.72399224190454,0.0,99.00990099009901,99.00990099009901,2025-09-19,1
83,900,1763,584.92468281543,0.0,2.7226318774815654,26.602382302892796,2025-09-19,1
84,1296,3323,311.93178539273873,8.245561239843514,37.13511886849233,86.27746012639182,2025-09-19,1
85,1112,3224,381.3062361654691,4.311414392059553,30.148883374689827,69.82009925558313,2025-09-19,1
86,1164,2420,526.5107614225666,0.0,0.0,39.710743801652896,2025-09-19,1
87,1011,1723,362.4127357962563,0.0,24.840394660475916,84.56181079512479,2025-09-19,1
88,831,3238,135.07912103692314,29.740580605311923,99.10438542310068,100.0,2025-09-19,1
89,1762,3735,310.7930217987954,0.321285140562249,20.803212851405622,100.0,2025-09-19,1
90,1350,1613,266.9736086176918,4.587724736515809,53.56478611283323,94.04835709857409,2025-09-19,1
91,1961,3517,130.79427071155055,33.807222064259314,97.35570088143304,100.0,2025-09-19,1
92,2332,5184,209.64667471648238,10.860339506172838,67.5733024691358,100.0,2025-09-19,1
93,1752,3924,130.66349800531614,32.39041794087666,96.73802242609581,100.0,2025-09-19,1
94,1547,1902,158.1207287940849,42.218717139852785,79.81072555205047,100.0,2025-09-19,1
95,1261,1556,868.9336685700235,0.0,0.0,9.125964010282777,2025-09-19,1
96,2543,3155,1360.8602238692201,0.0,0.0,0.0,2025-09-19,1
97,1025,1066,902.9116063863198,0.0,0.0,0.0,2025-09-19,1
98,63,63,651.2760606206461,0.0,0.0,41.269841269841265,2025-09-19,1
99,0,0,,,,,2025-09-19,1
100,188,350,529.8764028051864,0.0,0.0,48.857142857142854,2025-09-19,1
101,635,668,1177.243161422616,0.0,0.0,0.0,2025-09-19,1
102,0,0,,,,,2025-09-19,1
103,2089,2686,1338.3576485852484,0.0,0.0,0.0,2025-09-19,1
104,1751,2032,1604.5581014885563,0.0,0.0,0.0,2025-09-19,1
105,1555,1672,2083.760889423315,0.0,0.0,0.0,2025-09-19,1
106,1029,1100,2625.181758544231,0.0,0.0,0.0,2025-09-19,1
107,32,32,911.2708113490369,0.0,0.0,6.25,2025-09-19,1
108,0,0,,,,,2025-09-19,1
109,943,999,305.55110982732344,1.3013013013013013,35.43543543543544,97.4974974974975,2025-09-19,1
110,902,998,663.1076143671467,0.0,0.0,6.312625250501001,2025-09-19,1
111,1114,1315,448.7725884278486,2.5095057034220534,13.38403041825095,62.0532319391635,2025-09-19,1
112,1353,1484,696.3625626274636,0.0,0.0,0.9433962264150944,2025-09-19,1
113,145,334,641.6826734604392,0.0,0.0,11.976047904191617,2025-09-19,1
114,1589,2201,943.1768969874609,0.0,0.0,0.0,2025-09-19,1
115,263,269,999.5466271955853,0.0,0.0,0.0,2025-09-19,1
116,46,62,270.81404833207205,27.419354838709676,48.38709677419355,100.0,2025-09-19,1
117,74,99,432.1280579665141,0.0,0.0,74.74747474747475,2025-09-19,1
118,53,68,415.5684405965401,0.0,25.0,60.29411764705882,2025-09-19,1
119,431,616,497.0432200705686,0.0,1.948051948051948,51.461038961038966,2025-09-19,1
120,828,2075,763.506207179927,0.0,0.0,20.14457831325301,2025-09-19,1
121,156,1249,761.6645275780461,0.0,0.0,29.383506805444355,2025-09-19,1
122,178,1002,205.48914909550788,0.0,72.2554890219561,100.0,2025-09-19,1
123,2,2,757.375206866566,0.0,0.0,0.0,2025-09-19,1
124,172,1505,554.850946992451,0.0,0.0,34.81727574750831,2025-09-19,1
125,260,1342,262.02432268299094,4.843517138599106,45.67809239940387,100.0,2025-09-19,1
126,717,2197,474.28384047271993,0.0,12.47155211652253,53.34547109695039,2025-09-19,1
127,0,0,,,,,2025-09-19,1
128,46,345,718.3287575940008,0.0,0.0,0.0,2025-09-19,1
129,1327,1569,1139.9118781591528,0.0,0.0,0.0,2025-09-19,1
130,133,424,1025.1066820027063,0.0,0.0,0.0,2025-09-19,1
131,1087,2247,519.735138802355,0.0,19.848687138406763,45.34935469514909,2025-09-19,1
132,1066,3263,480.63045311618015,9.439166411277965,20.165491878639287,52.89610787618756,2025-09-19,1
133,285,302,968.559634651069,0.0,0.0,0.0,2025-09-19,1
134,7,7,1364.8220559485167,0.0,0.0,0.0,2025-09-19,1
135,160,165,1766.9683583766032,0.0,0.0,0.0,2025-09-19,1
136,4,4,1494.6281227601405,0.0,0.0,0.0,2025-09-19,1
137,299,299,1828.2718091283803,0.0,0.0,0.0,2025-09-19,1
138,228,228,3320.3307155259126,0.0,0.0,0.0,2025-09-19,1
139,552,564,2500.641862882329,0.0,0.0,0.0,2025-09-19,1
140,92,92,1404.9967542032125,0.0,0.0,0.0,2025-09-19,1
141,309,309,2788.6357916089783,0.0,0.0,0.0,2025-09-19,1
142,191,193,3456.174090309499,0.0,0.0,0.0,2025-09-19,1
143,526,526,2248.654609075252,0.0,0.0,0.0,2025-09-19,1
144,207,207,2380.665799183187,0.0,0.0,0.0,2025-09-19,1
145,2,2,2325.089000557885,0.0,0.0,0.0,2025-09-19,1
146,0,0,,,,,2025-09-19,1
147,38,38,1667.3402581283972,0.0,0.0,0.0,2025-09-19,1
148,447,476,1434.7205443791688,0.0,0.0,0.0,2025-09-19,1
149,1380,1391,1614.8591383044004,0.0,0.0,0.0,2025-09-19,1
150,945,945,1887.3217521938461,0.0,0.0,0.0,2025-09-19,1
151,34,34,854.2357277268457,0.0,0.0,0.0,2025-09-19,1
